Metric,Value
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,289
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,289
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19148
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19976
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.00851634
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00358942
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000094691
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00358942
design_powergrid__voltage__worst,0.00358942
design_powergrid__voltage__worst__net:VPWR,1.19148
design_powergrid__drop__worst,0.00851634
design_powergrid__drop__worst__net:VPWR,0.00851634
design_powergrid__voltage__worst__net:VGND,0.00358942
design_powergrid__drop__worst__net:VGND,0.00358942
ir__voltage__worst,1.189999999999999946709294817992486059665679931640625
ir__drop__avg,0.000235999999999999990167587338163457388873212039470672607421875
ir__drop__worst,0.0085199999999999997957189634689711965620517730712890625
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
